area sembrada,area cosechada,produccion,cultivo,PERIODO,rendimiento,municipio,prediccion
9,8,9,ARVEJA,2016A,1.05,TIBASOSA,1.10875
6,6,6,ARVEJA,2016A,1.05,GAMEZA,1.049
5,4,2,ARVEJA,2016A,0.47,FLORESTA,0.50375
5,5,3,ARVEJA,2016A,0.5,SATIVANORTE,0.595178571
3,3,5,ARVEJA,2016A,1.8,TIPACOQUE,1.661
60,59,85,ARVEJA,2016B,1.44,TOCA,1.3825
30,30,21,ARVEJA,2016B,0.7,ALMEIDA,0.7
30,29,18,ARVEJA,2016B,0.63,LA CAPILLA,0.7
30,20,11,ARVEJA,2016B,0.53,TOTA,0.54625
28,28,39,ARVEJA,2016B,1.4,RONDON,1.395833333
14,14,10,ARVEJA,2016B,0.7,SOTAQUIRA,0.7
12,10,7,ARVEJA,2016B,0.7,MIRAFLORES,0.7
12,12,17,ARVEJA,2016B,1.4,TIBANA,1.4
10,10,12,ARVEJA,2016B,1.2,MONGUA,1.20875
10,10,9,ARVEJA,2016B,0.91,VIRACACHA,0.92375
8,8,3,ARVEJA,2016B,0.42,SATIVASUR,0.409107143
8,7,7,ARVEJA,2016B,1,TINJACA,0.94
2,2,2,ARVEJA,2016B,1.05,SORA,1.046
160,100,47,ARVEJA,2017A,0.47,SORACA,0.3
148,148,207,ARVEJA,2017A,1.4,TUNJA,1.512916667
130,125,117,ARVEJA,2017A,0.93,TOTA,1.067857143
45,40,22,ARVEJA,2017A,0.54,CHIQUIZA,0.6225
30,30,56,ARVEJA,2017A,1.87,PAIPA,1.8375
25,20,18,ARVEJA,2017A,0.89,BELEN,0.7995
22,18,8,ARVEJA,2017A,0.47,LABRANZAGRANDE,0.482
20,20,37,ARVEJA,2017A,1.87,JENESANO,1.903333333
13,13,12,ARVEJA,2017A,0.93,MONGUA,0.966666667
10,10,12,ARVEJA,2017A,1.21,CORRALES,1.20875
10,9,6,ARVEJA,2017A,0.7,TURMEQUE,0.64125
8,8,15,ARVEJA,2017A,1.87,CUITIVA,1.83
8,6,4,ARVEJA,2017A,0.75,JERICO,0.611
5,5,4,ARVEJA,2017A,0.79,BETEITIVA,0.75
5,5,7,ARVEJA,2017A,1.4,GAMEZA,1.4
5,4,2,ARVEJA,2017A,0.47,FLORESTA,0.53875
4,4,2,ARVEJA,2017A,0.47,SOCHA,0.53875
2,2,4,ARVEJA,2017A,1.87,CERINZA,2
100,95,155,ARVEJA,2017B,1.64,CHIQUINQUIRA,1.802
30,30,49,ARVEJA,2017B,1.64,PAIPA,1.6
20,15,21,ARVEJA,2017B,1.4,AQUITANIA,1.4475
20,10,5,ARVEJA,2017B,0.51,TENZA,0.47
15,15,14,ARVEJA,2017B,0.93,SOTAQUIRA,0.925
12,12,8,ARVEJA,2017B,0.65,MONGUA,0.65
10,10,20,ARVEJA,2017B,2,FIRAVITOBA,2
10,10,14,ARVEJA,2017B,1.4,GAMEZA,1.351666667
10,9,5,ARVEJA,2017B,0.51,SATIVANORTE,0.47
10,9,4,ARVEJA,2017B,0.42,SOATA,0.443
9,8,15,ARVEJA,2017B,1.87,TIBASOSA,1.82
6,5,4,ARVEJA,2017B,0.7,TURMEQUE,0.75
4,4,2,ARVEJA,2017B,0.57,TOPAGA,0.53375
3,3,5,ARVEJA,2017B,1.87,TUTAZA,1.661
2,2,1,ARVEJA,2017B,0.75,SAN MIGUEL DE SEMA,0.596785714
1600,1600,748,ARVEJA,2018A,0.47,SORACA,1.094333333
