area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO
7,6,9,1.5,ARVEJA,LA UVITA,2009B
6,5,5,1,ARVEJA,SUTATENZA,2009B
5,5,8,1.6,ARVEJA,NOBSA,2009B
5,5,5,1,ARVEJA,CHISCAS,2009B
5,5,5,1,ARVEJA,CHIVOR,2009B
5,5,8,1.6,ARVEJA,CORRALES,2009B
5,5,2,0.3,ARVEJA,MACANAL,2009B
5,5,9,1.8,ARVEJA,PAIPA,2009B
5,5,4,0.7,ARVEJA,SAN MIGUEL DE SEMA,2009B
5,5,6,1.3,ARVEJA,VILLA DE LEYVA,2009B
4,4,6,1.5,ARVEJA,SANTA SOFIA,2009B
