,area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO,pred knn,pred rf,pred rl,pred rlaso
174,30,28,42,1.5,ARVEJA,SUSACON,2007B,1.2,1.9924199999999994,1.5308074951171875,1.9287052321993912
175,22,21,17,0.81,ARVEJA,GUACAMAYAS,2007B,3.3,0.5766399999999988,0.8335418701171875,1.9219192327968546
176,20,18,36,2.0,ARVEJA,AQUITANIA,2007B,0.8200000000000001,1.4146399999999935,1.3921356201171875,1.9316844514492857
177,20,18,22,1.2,ARVEJA,BOAVITA,2007B,12.28,17.680360000000007,15.355026245117188,12.718538517009296
178,20,20,18,0.88,ARVEJA,MONGUA,2007B,5.99,15.279300000000001,10.861862182617188,12.095881693781415
179,20,19,32,1.68,ARVEJA,UMBITA,2007B,7.58,1.0091000000000026,2.4878387451171875,1.9247329398661988
180,18,18,36,2.0,ARVEJA,GARAGOA,2007B,5.032,1.5631199999999994,2.7632293701171875,1.922746793699603
181,18,18,36,2.0,ARVEJA,MOTAVITA,2007B,10.82,12.540339999999961,14.405807495117188,12.52819950937717
182,18,17,17,1.0,ARVEJA,SUTATENZA,2007B,9.584,20.964839999999985,12.630416870117188,12.48682146423975
183,16,16,26,1.67,ARVEJA,PACHAVITA,2007B,19.318,16.049079999999996,17.231979370117188,12.336205379939544
184,15,12,18,1.5,ARVEJA,SOCHA,2007B,1.686,1.024320000000002,-0.6620635986328125,1.9280431834771923
185,15,15,18,1.2,ARVEJA,SOTAQUIRA,2007B,6.909999999999999,12.771180000000012,10.456588745117188,12.116074179808475
186,13,12,8,0.7,ARVEJA,CHINAVITA,2007B,9.7,11.81455999999999,12.027877807617188,12.222001975360268
187,12,12,18,1.5,ARVEJA,SANTA SOFIA,2007B,10.440000000000001,1.1085999999999996,1.6050262451171875,1.9292017687410405
188,10,10,18,1.8,ARVEJA,BELEN,2007B,4.196,1.2638600000000026,2.9453582763671875,1.923077818060702
189,10,10,15,1.5,ARVEJA,BETEITIVA,2007B,3.7020000000000004,9.3496,11.053268432617188,12.063110282032579
190,10,10,7,0.7,ARVEJA,CHITA,2007B,0.8780000000000001,0.9874400000000016,1.1479949951171875,1.9316844514492857
191,10,9,6,0.7,ARVEJA,LA CAPILLA,2007B,0.882,0.5287999999999995,-0.5199737548828125,1.9237398667829009
192,10,10,1,0.1,ARVEJA,LABRANZAGRANDE,2007B,8.666,1.7990599999999999,1.8140106201171875,1.922415769338503
193,10,10,15,1.5,ARVEJA,OICATA,2007B,12.072,19.138999999999996,15.200729370117188,13.877123780857033
194,10,10,16,1.6,ARVEJA,PESCA,2007B,9.66,8.062480000000003,10.337936401367188,12.072378964143361
195,10,10,13,1.3,ARVEJA,TOPAGA,2007B,10.15,12.758839999999955,12.293502807617188,12.17433446736196
196,9,9,9,1.0,ARVEJA,ALMEIDA,2007B,0.82,0.8998800000000001,0.8979949951171875,1.9242364033245503
197,8,8,10,1.3,ARVEJA,GAMEZA,2007B,4.242,0.51244,2.0444793701171875,1.9244019155050998
198,8,8,1,0.09,ARVEJA,PAYA,2007B,6.24,0.4358400000000012,-1.1078643798828125,1.9225812815190535
199,8,8,8,1.0,ARVEJA,PISBA,2007B,14.9,18.379780000000014,14.382369995117188,12.700332177148834
200,8,6,10,1.73,ARVEJA,RAQUIRA,2007B,1.866,0.7520599999999998,-0.7572784423828125,1.9240708911439999
201,7,7,8,1.23,ARVEJA,MIRAFLORES,2007B,6.0,12.11438,10.749557495117188,12.375928303271467
202,7,5,4,0.7,ARVEJA,SAN MIGUEL DE SEMA,2007B,7.24,9.456259999999999,14.281784057617188,12.071385891060062
203,6,6,8,1.33,ARVEJA,GACHANTIVA,2007B,6.33,0.5059999999999995,2.3696746826171875,1.922415769338503
204,6,6,9,1.5,ARVEJA,LA UVITA,2007B,7.603999999999999,0.6184000000000007,1.0461883544921875,1.9232433302412515
205,6,6,11,1.83,ARVEJA,PAIPA,2007B,1.654,0.5305599999999998,2.3101043701171875,1.922415769338503
206,6,6,10,1.82,ARVEJA,SOCOTA,2007B,0.916,0.6900999999999945,-0.4555206298828125,1.9229123058801525
207,5,5,5,1.0,ARVEJA,CHISCAS,2007B,8.644,3.6814599999999937,9.569869995117188,12.063606818574227
208,4,4,5,1.25,ARVEJA,VILLA DE LEYVA,2007B,1.204,0.7482599999999963,3.9097137451171875,1.922415769338503
209,3,3,5,1.75,ARVEJA,TUTA,2007B,1.682,1.11488,-1.6117706298828125,1.9253949885883976
210,2,1,1,1.0,ARVEJA,BUSBANZA,2007B,14.62,19.43273999999996,16.327682495117188,12.423926835630873
211,2,2,2,0.75,ARVEJA,CHIVOR,2007B,1.0299999999999998,1.750179999999993,1.3701629638671875,1.9247329398661988
212,2,2,1,0.4,ARVEJA,SATIVASUR,2007B,9.2,8.745400000000002,13.136276245117188,12.06708257436577
213,2,2,3,1.5,ARVEJA,TIPACOQUE,2007B,15.056000000000001,18.116340000000047,16.933151245117188,14.84652862233649
214,1400,1400,2600,1.86,ARVEJA,PESCA,2008A,14.8,16.050120000000003,13.321823120117188,12.135935641474436
215,1274,1076,2260,2.1,ARVEJA,SAMACA,2008A,11.0,14.148459999999982,11.851119995117188,12.294827334802125
216,600,500,940,1.88,ARVEJA,CIENEGA,2008A,3.806,1.087839999999999,1.1792449951171875,1.9220847449774041
217,309,280,540,1.93,ARVEJA,SIACHOQUE,2008A,11.8,23.240960000000037,15.558151245117188,14.746062728742835
218,180,60,108,1.8,ARVEJA,MONGUI,2008A,11.6,24.669620000000034,17.439010620117188,15.494177784827373
219,180,170,325,1.91,ARVEJA,TOCA,2008A,3.588,1.174760000000001,0.6226043701171875,1.9219192327968546
220,152,152,274,1.8,ARVEJA,CUCAITA,2008A,10.406,14.696620000000005,14.173385620117188,12.503372682294717
221,150,140,98,0.7,ARVEJA,COMBITA,2008A,15.6,13.027460000000005,14.081588745117188,12.09373003543427
222,113,100,94,0.94,ARVEJA,SABOYA,2008A,11.0,10.532419999999997,12.195846557617188,12.188899539250333
223,100,100,150,1.5,ARVEJA,SORACA,2008A,0.982,0.9928800000000004,0.2363739013671875,1.9248984520467483
224,100,100,140,1.4,ARVEJA,TOTA,2008A,7.884,8.618999999999996,11.585494995117188,12.09373003543427
